food_name,energy_kcal,carb_g,protein_g,fat_g,servings_unit,unit_serving_energy_kcal,unit_serving_carb_g,unit_serving_protein_g,unit_serving_fat_g
Spinach and potato (Palak aloo),57.17,5.91,1.63,2.82,bowl,191.57,19.81,5.46,9.45
Spinach burfi (Palak burfi),121.17,12.76,2.71,6.81,piece,105.57,11.12,2.36,5.94
Spinach chickpeas cutlet (Palak channa dal cutlet),688.03,4.93,1.44,73.60,cutlet,2255.60,16.17,4.72,241.28
Spinach khichri (Palak khichri/khichdi),102.18,17.35,3.43,1.91,,153.52,26.07,5.15,2.87
Spinach kofta curry (Palak kofta curry),571.78,3.56,1.09,61.49,bowl,4609.49,28.74,8.75,495.73
Spinach mushroom (Palak mushroom),47.63,2.95,1.94,2.96,bowl,140.54,8.72,5.73,8.72
Spinach mushroom scrambled egg (Palak mushroom bhurji),158.85,0.59,13.28,11.51,plate,184.98,0.68,15.46,13.40
Spinach mutton (Palak mutton),80.32,3.45,5.74,4.71,bowl,390.38,16.76,27.91,22.89
Spinach pakora/pakoda (Palak pakoda),712.62,4.68,1.96,76.38,plate,4521.57,29.67,12.47,484.62
Spinach paneer (Palak paneer),77.68,4.43,4.03,4.76,bowl,229.55,13.09,11.92,14.07
Spinach paneer kofta curry (Palak paneer kofta curry),606.03,2.94,1.43,65.41,bowl,4620.94,22.44,10.88,498.74
Spinach peanut burfi (Palak aur mungfali ki burfi),105.37,13.59,3.36,4.39,,252.89,32.62,8.05,10.55
Spinach peanut namak paras (Palak moongfali namak paras),740.16,6.62,1.65,78.51,plate,2339.85,20.92,5.23,248.19
Spinach poori (Palak poori),684.25,7.76,1.42,71.86,poori,923.74,10.47,1.92,97.01
Spinach raita (Palak ka raita),52.75,5.06,3.95,1.86,bowl,107.18,10.28,8.02,3.78
Spinach souffle ,150.18,6.27,7.36,10.52,small bowl,300.87,12.57,14.74,21.08
Spinach soup (Palak ka soup),32.59,3.03,10.54,14.26,bowl,163.88,15.21,52.98,71.72
Spinach soup in milk ,56.72,3.98,2.89,3.20,,,,,
Split bengal gram burfi/fudge (Channa dal burfi),287.36,54.63,4.65,7.09,piece,176.01,33.46,2.85,4.34
Split bengal gram dal (Channa dal),99.67,9.99,4.15,4.62,bowl,291.20,29.20,12.13,13.50
Split bengal gram dal and vegetable pulao (Channa dal and vegetable pulao),116.53,19.72,3.60,2.30,plate,514.92,87.14,15.91,10.15
Split bengal gram sweet rice (Channa dal sweet rice),190.21,41.07,4.15,0.64,plate,418.47,90.36,9.14,1.42
Split bengal gram with bottle gourd (Channa dal with ghiya/lauki),73.25,7.10,2.79,3.60,bowl,204.25,19.80,7.78,10.05
Sponge cake ,253.77,44.63,9.18,4.74,,,,,
Spring basket salad,160.46,11.61,3.36,11.30,basket,336.96,24.37,7.06,23.72
Spring roll,623.87,8.56,1.81,64.63,spring roll,587.39,8.06,1.70,60.85
Sprouted moong dal chat,32.47,6.01,1.35,0.32,plate,83.30,15.40,3.46,0.82
Sprouted moong daliya ,111.56,14.77,2.81,4.71,plate,352.54,46.68,8.86,14.88
Sprouted moong parantha/paratha,228.59,24.31,4.29,12.43,parantha,175.32,18.64,3.29,9.53
Sprouted moong poha ,192.60,26.60,5.59,6.89,plate,368.51,50.90,10.70,13.17
Sprouted moong pulao,112.97,17.49,2.19,3.61,plate,460.81,71.35,8.93,14.72
Sprouted moong raita ,60.89,6.13,4.62,2.19,bowl,92.97,9.35,7.06,3.34
Sprouted moong salad ,37.81,5.48,2.29,0.74,bowl,77.03,11.17,4.66,1.51
Sprouts upma ,316.25,44.96,9.50,10.44,plate,301.49,42.86,9.06,9.95
Starfruit preserves ,128.93,33.62,0.24,0.12,jar,209.51,54.63,0.39,0.19
Steamed cake with chocolate sauce,301.91,29.06,4.49,19.01,small mould,718.54,69.17,10.69,45.25
Steamed orange pudding,278.03,41.53,2.34,12.04,large slice,298.77,44.62,2.52,12.93
Steeped hot coffee,15.91,3.01,0.39,0.33,tea cup,32.13,6.08,0.78,0.67
Stewed apple,91.93,22.49,0.17,0.37,,,,,
Stewed apple with custard,92.87,18.36,1.27,1.82,piece,263.29,52.05,3.60,5.16
Stewed fruit (with pear),74.32,18.22,0.25,0.32,bowl,89.56,21.96,0.30,0.39
Strawberry and vanilla cake with butter icing,370.54,44.25,3.89,20.39,slice,431.68,51.56,4.53,23.75
Strawberry ice cream,215.61,12.26,4.15,16.96,ice cream cup,392.13,22.29,7.55,30.84
Stuffed baked potatoes ,100.20,11.03,3.82,4.39,potato,104.25,11.48,3.97,4.57
Stuffed bittergourd (dry) (Bharwa karela),217.65,2.49,1.29,22.38,bowl,230.90,2.64,1.37,23.75
Stuffed bittergourd (wet) (Bharwa karele),162.36,4.68,1.36,15.24,bowl,254.05,7.32,2.13,23.85
Stuffed bottle gourd (Stuffed ghiya/lauki),93.19,4.36,5.84,5.80,portion,330.81,15.48,20.72,20.60
Stuffed brinjal (Bharwa baingan),93.00,3.96,1.53,7.73,brinjal,51.50,2.19,0.85,4.28
Stuffed capsicum (Bharwa shimla mirch),90.94,8.26,1.34,5.70,capsicum,114.13,10.36,1.68,7.16
Stuffed egg omelette/omlet,203.51,2.30,8.60,17.77,omelette,533.21,6.03,22.54,46.57
Stuffed okra (Bharwa bhindi),94.34,3.85,2.08,7.66,bowl,104.25,4.26,2.30,8.46
Stuffed round gourd (Bharwa tinde),72.80,4.02,1.10,5.75,bowl,180.72,9.98,2.74,14.27
Stuffed tomatoes (Bharwa tamatar),93.35,6.19,3.28,6.06,tomato,126.49,8.39,4.45,8.21
Submarine sandwich,216.92,13.60,6.09,15.32,hot dog bun,421.63,26.44,11.83,29.78
Summer cooler,22.43,5.43,0.37,0.04,tall glass,110.95,26.87,1.85,0.18
Sunflower cookies,520.62,40.06,9.49,36.28,cookie,954.30,73.44,17.39,66.50
Sunset and sunrise open sandwich,241.31,18.89,8.58,15.14,sandwich,199.68,15.63,7.10,12.53
Sweet and salty biscuit (Meethay aur namkeen biscuit),407.96,45.09,6.15,22.39,biscuit,43.74,4.83,0.66,2.40
Sweet and sour tomato pickle (Khatta meetha tamatar ka achaar),60.88,6.55,1.26,3.24,,,,,
Sweet corn soup,32.25,3.56,0.99,1.63,bowl,126.48,13.98,3.88,6.40
Sweet couscous dessert,196.20,29.69,3.81,7.69,bowl,451.75,68.37,8.78,17.71
Sweet Lassi (Meethi lassi),35.66,6.51,1.29,0.68,tall glass,157.80,28.80,5.70,3.00
Sweet lemon pickle (Neembu ka meetha achaar),69.54,16.87,1.22,0.21,,,,,
Sweet open sandwich,244.25,39.24,4.99,8.15,triangle,144.11,23.15,2.94,4.81
Sweet peach pickle (Aadoo ka achaar),144.64,37.01,0.46,0.20,jar,349.29,89.38,1.12,0.49
Sweet plain biscuit,380.76,50.29,5.86,17.67,biscuit,54.47,7.19,0.84,2.53
Sweet poori (Meethi poori),782.75,14.26,2.12,79.63,poori,1193.69,21.75,3.23,121.44
Sweet potato biscuit (Shakarkand ke biscuit),296.40,38.13,5.14,13.31,biscuit,447.31,57.55,7.75,20.08
Sweet raita (Meetha raita),99.24,17.93,3.24,1.78,bowl,190.55,34.43,6.22,3.42
Sweet rice (Meethe chawal),215.41,42.59,2.10,4.57,plate,749.13,148.12,7.29,15.88
Sweet split chickpea roti (Sweet channa dal roti/Puranpoli),366.59,62.66,9.51,7.93,roti,195.67,33.44,5.08,4.23
Sweet wheat porridge (Sweet dalia),140.66,23.77,5.11,2.79,,,,,
Sweetened yogurt (Shrikhand),107.18,16.02,5.27,2.89,bowl,326.50,48.79,16.07,8.81
Swiss roll,251.87,48.34,7.30,3.77,swiss roll,159.31,30.57,4.62,2.38
Talaumein soup,35.63,4.17,10.12,12.78,soup bowl,131.48,15.39,37.36,47.18
Tamarind chutney (Chintapandu pachadi/Puli chutney),109.15,25.07,0.88,0.48,ml,3.95,0.91,0.03,0.02
Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna),373.04,65.08,7.45,8.53,plate,476.86,83.19,9.53,10.91
Tandoori chicken,145.20,2.34,16.26,7.93,chicken,2092.02,33.66,234.33,114.30
Tandoori fish,95.98,2.37,11.19,4.64,piece,224.23,5.55,26.15,10.85
Tandoori parantha/paratha,295.37,30.74,5.08,16.51,parantha,164.42,17.11,2.83,9.19
Tartare sauce,610.93,2.96,1.44,66.12,,,,,
Thandai,101.18,9.13,3.59,5.89,glass,256.45,23.15,9.10,14.92
Thickened sweetened milk (Rabri),102.79,10.55,3.52,5.35,bowl,226.44,23.23,7.74,11.78
Thousand island dressing,407.87,4.49,1.37,42.87,,,,,
Tomato and cucumber sandwich (Tamatar aur kheere ka sandwich),150.68,20.51,4.03,6.31,sandwich,118.66,16.15,3.17,4.97
Tomato aspic,50.37,5.02,6.87,0.26,small mould,107.16,10.69,14.62,0.56
Tomato chicken,111.68,2.13,10.57,6.71,bowl,196.84,3.76,18.63,11.84
Tomato chutney (Tamatar ki chutney),176.07,31.85,0.97,6.01,,,,,
Tomato fish,489.79,3.18,2.39,51.91,bowl,4740.81,30.75,23.18,502.43
Tomato ginger chutney (Tamatar adarak ki chutney),44.66,9.11,1.05,0.32,tablespoon,7.33,1.50,0.17,0.05
Tomato ketchup,33.07,6.48,0.91,0.30,,,,,
Tomato onion raita (Tamatar aur pyaaz ka raita),59.00,7.08,3.74,1.84,bowl,104.83,12.58,6.64,3.27
Tomato puree,20.62,3.68,0.75,0.25,,,,,
Tomato sandwich (grilled),189.92,21.29,6.26,9.39,sandwich,145.77,16.34,4.80,7.20
Tomato sauce,34.33,7.23,0.81,0.27,,,,,
Tossed green salad,49.88,3.82,1.33,3.24,small bowl,108.73,8.32,2.91,7.06
Tossed salad,62.96,4.95,1.02,4.22,bowl,214.69,16.88,3.49,14.39
Triffle pudding,116.97,18.24,2.93,3.93,bowl,341.84,53.30,8.57,11.50
Tutti fruitti biscuit,420.78,53.12,5.21,17.90,biscuit,457.39,57.74,5.66,19.46
Tutti frutti cake,347.72,52.94,4.49,12.68,cake,2949.55,449.04,38.09,107.58
Urad sabut special,79.39,5.03,2.33,5.46,bowl,350.76,22.23,10.29,24.13
Urad special dehusked,69.43,8.86,3.14,2.17,curry bowl,184.84,23.59,8.36,5.77
Uttapam,255.95,36.28,6.18,9.03,uttapam,174.15,24.68,4.21,6.14
Vanilla ice cream with apples in hot cherry sauce,196.32,22.75,1.73,11.45,dish,492.66,57.09,4.35,28.74
Vanilla ice cream with egg,214.85,11.71,4.16,17.02,ice cream cup,389.15,21.21,7.54,30.84
Vanilla ice cream without egg,228.67,14.21,2.69,18.15,ice cream cup,359.87,22.36,4.23,28.56
Vanilla souffle,187.85,14.78,7.71,11.19,souffle cup,408.58,32.15,16.78,24.35
Veg manchurian,585.64,6.82,0.89,61.65,plate,1141.69,13.29,1.73,120.19
Veg paneer stew,145.55,10.22,6.98,8.41,bowl,344.74,24.20,16.54,19.91
Vegetable and cheese pie,126.88,8.76,4.03,8.28,dish,615.15,42.46,19.53,40.15
Vegetable and mayonnaise sandwich,244.26,23.20,4.47,15.40,triangle,166.83,15.85,3.06,10.52
Vegetable biryani/biriyani,174.61,18.56,3.16,9.51,plate,526.55,55.96,9.53,28.67
Vegetable burger,519.93,13.69,3.26,50.63,burger,2678.94,70.53,16.81,260.88
Vegetable chowmein,129.71,15.44,3.07,6.36,plate,388.60,46.27,9.19,19.05
Vegetable curry with coconut ,83.07,7.19,2.77,4.66,bowl,308.67,26.70,10.31,17.30
Vegetable cutlet,665.45,4.68,1.25,71.33,cutlet,2247.57,15.82,4.21,240.91
Vegetable jalfrezi,68.48,5.43,1.40,4.38,bowl,68.88,5.46,1.41,4.40
Vegetable khichdi/khichri,143.17,19.57,5.61,4.53,,,,,
Vegetable mix,174.21,36.02,4.70,0.94,,174.21,36.02,4.70,0.94
Vegetable namkeen jave,112.23,18.98,2.93,2.51,plate,409.97,69.32,10.71,9.15
Vegetable pancake,125.18,12.24,3.87,6.57,pancake,146.64,14.33,4.53,7.70
Vegetable patties ,261.92,20.98,4.01,17.74,patty,303.07,24.27,4.64,20.53
Vegetable poha,180.52,21.52,4.89,8.07,bowl,176.60,21.05,4.78,7.89
Vegetable samosa,443.11,13.22,2.21,42.22,samosa,447.23,13.34,2.23,42.62
Vegetable seekh kebab,690.73,5.32,1.57,73.72,kabab,1136.38,8.76,2.59,121.28
Vegetable soup,55.21,7.60,2.22,1.55,,,,,
Vegetable stock,17.60,0.96,0.30,1.38,cup,73.13,3.99,1.25,5.72
Vegetable upma,146.47,16.46,4.73,6.63,plate,345.17,38.78,11.14,15.63
Vegetable yakhni,406.06,1.94,1.18,43.80,bowl,2329.72,11.13,6.74,251.28
Vegetables stir fry ,30.78,3.19,1.04,1.47,small bowl,119.59,12.41,4.02,5.72
Vegetarian club sandwich,198.33,19.68,5.45,11.33,triangle,164.37,16.31,4.52,9.39
Vegetarian egg kofta curry,627.41,4.26,1.33,67.24,bowl,4649.08,31.57,9.84,498.26
Vegetarian nargisi kofta curry,332.15,6.58,2.29,32.94,kofta,1325.26,26.25,9.13,131.43
Vegeterian scotch egg,681.67,4.64,2.16,72.77,piece,2277.34,15.51,7.23,243.12
Vermicelli kheer (Semiya/Seviyan ki kheer),120.07,15.87,3.35,5.00,bowl,279.08,36.90,7.80,11.61
Vermicelli porridge (Semiya/Seviyan porridge),78.40,10.56,2.50,2.98,bowl,310.85,41.89,9.90,11.83
Vermicelli upma (Semiya/Seviyan upma),149.11,16.88,3.11,7.45,bowl,158.43,17.93,3.31,7.91
Victorian sandwich cake,373.09,44.74,5.18,19.83,piece,239.24,28.69,3.32,12.72
Waldroff salad,141.75,11.02,1.47,10.05,bowl,349.42,27.16,3.63,24.78
Walnut chutney (Akhrot ki chutney),370.43,8.91,9.44,33.46,tablespoon,45.92,1.10,1.17,4.15
Washed moong dal (Dhuli moong ki dal),50.00,5.91,2.68,1.68,bowl,138.51,16.36,7.42,4.66
Washed urad dal (Dhuli urad ki dal),61.32,5.84,2.51,2.98,bowl,181.52,17.29,7.43,8.82
Watercress sandwich,229.42,28.03,5.17,11.47,triangle,124.17,15.17,2.80,6.21
Wheat and gram flour ladoo (Atta besan ladoo),501.70,50.50,9.38,29.86,piece,151.76,15.28,2.84,9.03
Wheat cake,314.63,41.13,4.79,14.95,piece,210.21,27.48,3.20,9.99
Wheat flakes,112.44,15.57,3.62,3.99,bowl,312.58,43.28,10.06,11.09
Wheat flour and moong dal burfi (Atta aur moong dal ki burfi),441.08,60.00,9.84,18.41,piece,115.78,15.75,2.58,4.83
Wheat flour and nuts ladoos (Atta nuts ladoos),391.90,44.31,9.46,19.19,ladoo,142.06,16.06,3.43,6.96
Whey soup,68.91,6.26,3.45,3.34,bowl,153.96,13.98,7.72,7.46
White sauce (medium),151.27,7.98,3.36,11.76,,,,,
White sauce (thick),209.69,10.24,3.43,17.19,,,,,
White sauce (thin),115.17,6.58,3.31,8.41,,,,,
White stock,6.99,0.40,0.07,0.56,cup,53.45,3.05,0.52,4.25
Whole masoor (Masoor ki dal),54.05,5.37,2.28,2.52,bowl,185.05,18.40,7.80,8.62
Whole moong (Moong ki dal),53.70,5.22,2.25,2.56,bowl,183.83,17.87,7.70,8.78
Whole moth (Moth ki dal),55.00,5.74,2.01,2.62,bowl,188.27,19.65,6.87,8.96
Whole urad (Urad ki dal),53.80,5.05,2.21,2.62,bowl,182.54,17.13,7.51,8.90
Woodapple juice (Bel ka sharbat),34.18,6.51,0.63,0.70,glass,120.07,22.87,2.21,2.46
Yam fried (Zimikand/Suran fried),491.76,5.47,0.79,51.79,bowl,2377.28,26.44,3.82,250.36
Yam kofta curry (Zimikand/Suran kofta curry),322.88,3.75,0.71,33.84,bowl,2422.44,28.13,5.36,253.85
Mango,60.00,15.00,0.80,0.40,,,,,
Banana,89.00,23.00,1.10,0.30,,,,,
Guava,68.00,14.00,2.60,0.60,,,,,
Papaya,43.00,11.00,0.50,0.30,,,,,
Pomegranate,83.00,19.00,1.70,1.20,,,,,
Apple,52.00,14.00,0.30,0.20,,,,,
Orange,47.00,12.00,0.90,0.10,,,,,
Watermelon,30.00,8.00,0.60,0.20,,,,,
Litchi,66.00,17.00,0.80,0.40,,,,,
Custard Apple (Sitaphal),75.00,18.00,2.00,0.20,,,,,
Grapes,69.00,18.00,0.60,0.20,,,,,
Pineapple,50.00,13.00,0.50,0.20,,,,,
Chikoo (Sapodilla),83.00,20.00,0.50,0.10,,,,,
Jackfruit,95.00,24.00,1.70,0.60,,,,,
Amla (Indian Gooseberry),44.00,10.00,0.60,0.60,,,,,
Bael (Wood Apple),66.00,16.00,2.00,0.6x1,,,,,
Jamun (Black Plum),60.00,14.00,0.90,0.20,,,,,
Kaddu (Pumpkin),26.00,7.00,1.00,0.10,,,,,
Mulberry,43.00,9.80,1.70,0.40,,,,,
Custard Apple,75.00,18.00,2.00,0.40,,,,,
Aonla (Indian Gooseberry),44.00,10.00,0.60,0.60,,,,,
Tamarind,239.00,68.00,2.80,0.60,,,,,
Kiwifruit,61.00,15.00,1.00,0.50,,,,,
Dragon Fruit (Pitaya),50.00,13.00,1.00,0.10,,,,,
Laxmana phal,66.00,16.00,0.80,0.30,,,,,
Blackberry,43.00,10.00,1.40,0.50,,,,,
Raspberries,52.00,12.00,1.20,0.70,,,,,
Sweet Lime (Mosambi),43.00,11.00,0.60,0.10,,,,,
Fig,74.00,19.00,0.80,0.30,,,,,
Apricot,48.00,12.00,1.40,0.10,,,,,
Cherry,63.00,16.00,1.10,0.20,,,,,
Peach,39.00,10.00,0.90,0.30,,,,,
Lemon,29.00,9.00,1.10,0.30,,,,,
Snake Gourd,19.00,4.00,0.80,0.10,,,,,
Starfruit (Carambola),31.00,7.00,1.00,0.30,,,,,
Longan,60.00,15.00,1.30,0.10,,,,,
Pear,57.00,15.00,0.40,0.10,,,,,
Lime,30.00,11.00,0.90,0.20,,,,,
Nutmeg (jagikaya),525.00,49.00,5.80,36.00,,,,,
Rambutan,68.00,16.00,0.90,0.20,,,,,
Olive,145.00,4.00,0.80,11.00,,,,,
Acorn Squash ( GUMMADI),40.00,10.00,1.00,0.10,,,,,
Elephant Apple (Chalta),60.00,14.00,0.50,0.20,,,,,
Sweet Potato,86.00,20.00,1.60,0.10,,,,,
Drumstick,35.00,7.00,2.30,0.20,,,,,
Coconut ,354.00,15.00,3.30,33.50,,,,,
almond,576.00,21.60,21.20,49.90,,,,,
Cashews,553.00,30.20,18.20,43.90,,,,,
Walnuts,654.00,13.70,13.70,65.20,,,,,
Pista,562.00,28.00,20.60,45.30,,,,,
Hazelnuts,628.00,16.70,14.10,60.80,,,,,
Dried Apricots,241.00,63.00,3.40,0.50,,,,,
Raisins,299.00,79.00,2.50,0.50,,,,,
dried figs,249.00,64.00,3.30,0.90,,,,,
Dates,277.00,75.00,2.50,0.20,,,,,
Prunes,240.00,64.00,2.20,0.40,,,,,
Dried Mango,319.00,76.00,2.50,0.60,,,,,
Coconut (Dried),660.00,24.00,6.90,64.50,,,,,
Dried Blueberries,317.00,84.00,0.70,0.50,,,,,
Dried Cranberries,325.00,83.00,0.10,0.10,,,,,
Pine Nuts,673.00,13.70,13.10,68.40,,,,,
Chestnuts (Roasted),213.00,45.00,2.40,2.20,,,,,
Sunflower Seeds,584.00,20.00,20.80,51.50,,,,,
Pumpkin Seeds,559.00,30.20,10.70,49.00,,,,,
Poppy Seeds,525.00,28.10,18.00,41.60,,,,,
Flaxseeds,534.00,18.30,28.90,42.20,,,,,
Brazil Nuts,659.00,12.30,14.30,67.10,,,,,
Macadamia Nuts,718.00,14.00,8.00,75.80,,,,,
Almond Butter,614.00,20.10,21.20,55.40,,,,,
Cashew Butter,588.00,15.10,30.00,46.30,,,,,
Dried Peaches,239.00,62.00,2.20,0.40,,,,,
Dried Nectarines,270.00,69.00,3.00,0.30,,,,,
Dried Cherries,325.00,82.00,1.00,0.50,,,,,
Dried Apples,243.00,65.00,0.50,0.50,,,,,
Dried Bananas,346.00,88.00,4.00,1.50,,,,,
Dried Kiwi,346.00,88.00,3.00,0.60,,,,,
Raisin Bran,328.00,0.00,4.00,1.50,,,,,
Dried Coconut Flakes,650.00,24.00,6.50,64.50,,,,,
Yogurt Coated Raisins,360.00,75.00,4.10,7.10,,,,,
Dried Mulberries,370.00,75.00,9.80,2.20,,,,,
Dried Gooseberries,170.00,38.00,3.00,0.50,,,,,
Dried  Tamarind,239.00,63.00,2.80,0.60,,,,,
Sun-Dried Tomatoes,258.00,55.00,14.00,1.50,,,,,
Dried Seaweed (Nori),35.00,1.50,5.10,0.40,,,,,
Dried Black Currants,277.00,75.00,2.40,0.40,,,,,
Dried Sultanas,299.00,79.00,2.50,0.50,,,,,
Dried Lychee,292.00,75.00,0.80,0.10,,,,,
Dried Persimmons,288.00,75.00,2.30,0.20,,,,,
Dried Peppers,258.00,58.00,12.00,4.00,,,,,
Dried Ginseng Berries,250.00,60.00,1.00,0.50,,,,,
Dried Honeydew Melon ,350.00,80.00,3.00,0.50,,,,,
Dried Radish,371.00,80.00,7.00,0.10,,,,,
Dried Zucchini,100.00,19.00,3.20,0.30,,,,,
Dried Barberries,295.00,70.00,5.00,0.30,,,,,
Dried Corn,365.00,78.00,9.40,4.70,,,,,
Dried Apples (Sweetened),270.00,72.00,0.60,0.10,,,,,
Rasam,40.00,8.00,1.00,1.00,,,,,
Vegetable Korma ,150.00,20.00,4.00,7.00,,,,,
Coconut Curry,230.00,15.00,5.00,20.00,,,,,
Kootu,120.00,18.00,5.00,3.00,,,,,
Chettinad Chicken Curry,250.00,10.00,20.00,15.00,,,,,
Egg curry ,240.00,20.00,12.00,14.00,,,,,
Kadai Panner,380.00,30.00,18.00,24.00,,,,,
Thengai Paal (Cocont Milk Curry),200.00,10.00,4.00,18.00,,,,,
Prawn curry ,280.00,10.00,22.00,18.00,,,,,
Palak Curry,80.00,10.00,3.00,4.00,,,,,
Bhindi (Okra) Curry ,160.00,25.00,4.00,5.00,,,,,
Gobi Curry,100.00,18.00,4.00,2.00,,,,,
Korma (Vegetable),160.00,20.00,5.00,8.00,,,,,
Tomato Curry,90.00,14.00,2.00,4.00,,,,,
Methi Malai Murg,300.00,15.00,25.00,18.00,,,,,
Pumpkin Curry,100.00,18.00,2.00,3.00,,,,,
Drumstick Curry,120.00,20.00,5.00,4.00,,,,,
Pesarattu (Green Gram Pancake),250.00,35.00,15.00,6.00,,,,,
Fish Curry,300.00,10.00,25.00,20.00,,,,,
Kadai Vegetable,150.00,25.00,5.00,6.00,,,,,
Malabar Chicken Curry,350.00,15.00,30.00,25.00,,,,,
Chana Dal Curry,180.00,30.00,10.00,4.00,,,,,
Mixed Vegetable Curry,160.00,25.00,5.00,6.00,,,,,
Vankaya Curry (Eggplant),200.00,25.00,4.00,10.00,,,,,
Lauki Curry (Bottle Gourd),140.00,25.00,3.00,4.00,,,,,
Aloo Gobi,180.00,25.00,4.00,7.00,,,,,
Prawn Masala,280.00,12.00,22.00,18.00,,,,,
Karimeen Pollichathu (Pearl Spot Fish),300.00,10.00,25.00,20.00,,,,,
Kadala Curry (Black Chickpeas),240.00,40.00,10.00,5.00,,,,,
Coconut Chutney,180.00,8.00,3.00,16.00,,,,,
Karamani Curry (Black-eyed Peas),220.00,35.00,10.00,6.00,,,,,
Bisi Bele Bath,290.00,45.00,10.00,8.00,,,,,
Chole (Chickpea Curry),300.00,45.00,15.00,10.00,,,,,
Vegetable Biryani,250.00,45.00,7.00,5.00,,,,,
Malai Kofta,350.00,30.00,10.00,22.00,,,,,
Gajar Halwa (Carrot Curry),300.00,45.00,6.00,10.00,,,,,
Kothimbir Vadi (Coriander Cake),200.00,28.00,6.00,8.00,,,,,
Daal Makhani,300.00,35.00,15.00,10.00,,,,,
Fish Molee,280.00,10.00,20.00,18.00,,,,,
Nellikai (Amla) Curry,150.00,20.00,3.00,5.00,,,,,
Gatte ki Sabzi,210.00,30.00,7.00,8.00,,,,,
Khar (Assamese Dish),160.00,22.00,6.00,5.00,,,,,
Chutney (Peanut),250.00,15.00,10.00,18.00,,,,,
Chutney (Tomato),70.00,15.00,1.00,2.00,,,,,
Moong Dal Curry,150.00,25.00,9.00,4.00,,,,,
Chakkara Pongal,250.00,54.00,4.00,5.00,,,,,
Puliyodarai (Tamarind Rice),270.00,45.00,7.00,8.00,,,,,
Kori Rotti (Chicken Curry with Rice Roti),350.00,30.00,25.00,15.00,,,,,
Neer Dosa,150.00,26.00,3.00,4.00,,,,,
Bhaji (Mixed Vegetable Fritters),240.00,30.00,4.00,12.00,,,,,
Aloo Masala,170.00,28.00,4.00,5.00,,,,,
Gobi Manchurian,300.00,40.00,6.00,12.00,,,,,
Mutton Curry,320.00,12.00,25.00,22.00,,,,,
Methi Chicken,290.00,15.00,25.00,18.00,,,,,
Tikka Masala,350.00,12.00,28.00,22.00,,,,,
Paneer Butter Masala,380.00,25.00,15.00,27.00,,,,,
Biryani (Vegetable),400.00,65.00,10.00,15.00,,,,,
Tawa Pulao,240.00,42.00,6.00,6.00,,,,,
Kadai Chicken,340.00,15.00,25.00,20.00,,,,,
Pesarattu (Moong Dal Dosa),250.00,35.00,15.00,6.00,,,,,
Aloo Baingan,200.00,28.00,4.00,8.00,,,,,
Spinach,70.00,10.00,2.00,3.00,,,,,
Pongal (Spicy Rice Dish),230.00,30.00,5.00,7.00,,,,,
Cabbage Curry,100.00,15.00,2.00,4.00,,,,,
Chana Masala,300.00,45.00,15.00,10.00,,,,,
Kadai Paneer,380.00,30.00,18.00,24.00,,,,,
Daal Fry,200.00,30.00,10.00,5.00,,,,,
Cauliflower Curry,100.00,15.00,4.00,3.00,,,,,
Prawn Vindaloo,300.00,15.00,22.00,18.00,,,,,
Eggplant Masala,200.00,25.00,4.00,10.00,,,,,
Lemon Rice,230.00,38.00,6.00,6.00,,,,,
Curd Rice,150.00,25.00,5.00,3.00,,,,,
Pongal (Sweet Rice Dish),290.00,50.00,6.00,8.00,,,,,
Lauki Kofta,280.00,40.00,8.00,12.00,,,,,
Tandoori Aloo,210.00,32.00,5.00,8.00,,,,,
Daal Tadka,210.00,30.00,9.00,7.00,,,,,
Green Peas Curry,150.00,25.00,5.00,4.00,,,,,
Stuffed Paratha,270.00,42.00,8.00,10.00,,,,,
Fish Curry with Raw Mango,300.00,12.00,25.00,20.00,,,,,
Tomato Rasam,50.00,10.00,2.00,1.00,,,,,
Bhindi Masala,130.00,30.00,4.00,5.00,,,,,
Rajma (Kidney Bean Curry),220.00,38.00,12.00,5.00,,,,,
Tandoori Paneer Tikka,320.00,15.00,20.00,22.00,,,,,
  Cabbage Stir-fry,100.00,15.00,2.00,4.00,,,,,
  Chicken Biryani,400.00,60.00,20.00,15.00,,,,,
  Cucumber Salad,30.00,7.00,1.00,0.00,,,,,
  Malabar Fish Curry,250.00,10.00,20.00,15.00,,,,,
  Veg Manchurian,250.00,36.00,6.00,10.00,,,,,
  Ulli Theeyal (Onion Curry),120.00,16.00,2.00,6.00,,,,,
  Chettinad Prawn Curry,350.00,15.00,25.00,22.00,,,,,
  Garlic Rasam,40.00,8.00,1.00,1.00,,,,,
  Idli Sambar,220.00,35.00,8.00,6.00,,,,,
  Paneer Tikka Masala,350.00,30.00,15.00,20.00,,,,,
  Stuffed Bell Peppers,180.00,25.00,5.00,7.00,,,,,
  Cabbage Kofta,200.00,30.00,6.00,8.00,,,,,
  Bhuna Gosht (Spicy Lamb),380.00,12.00,25.00,30.00,,,,,
  Kadai Mushroom,250.00,35.00,7.00,10.00,,,,,
  Prawns Coconut Curry,280.00,15.00,20.00,18.00,,,,,
  Gobi Paratha,300.00,40.00,8.00,12.00,,,,,
  Rajma Galouti Kebab,350.00,30.00,20.00,18.00,,,,,
  Tomato Upma,220.00,34.00,5.00,7.00,,,,,
