food_name,energy_kcal,carb_g,protein_g,fat_g,servings_unit,unit_serving_energy_kcal,unit_serving_carb_g,unit_serving_protein_g,unit_serving_fat_g
Chocolate walnut cookies (Chocolate aur akhrot ke cookies),424.80,47.10,6.56,23.62,cookie,110.01,12.20,1.70,6.12
Choconut ice cream,273.96,23.13,5.04,18.49,sundae glass,658.80,55.62,12.12,44.47
Choux pastry,222.37,16.20,5.55,14.96,,,,,
Choux swans,216.34,14.92,4.35,15.60,swan,370.29,25.54,7.45,26.71
Christmas bell biscuit,404.85,60.79,5.66,15.84,biscuit,84.11,12.63,1.18,3.29
Christmas biscuit,406.07,60.97,5.67,15.88,biscuit,84.11,12.63,1.17,3.29
Christmas cake,372.95,48.29,5.49,16.88,slice,388.57,50.32,5.72,17.59
Christmas star biscuit,392.03,74.54,3.54,10.04,biscuit,145.64,27.69,1.31,3.73
Christmas tree biscuit,385.63,58.41,5.43,15.00,biscuit,84.69,12.83,1.19,3.29
Christmas wreath biscuit,386.05,58.07,5.43,15.01,biscuit,84.79,12.75,1.19,3.30
Chum chum,130.05,28.27,1.52,1.92,piece,405.44,88.13,4.73,5.98
Classic club sandwich,200.83,18.49,6.74,11.56,triangle,448.86,41.33,15.06,25.84
Classic italian pasta,42.12,4.40,0.57,2.45,,,,,
Classic seasoned black beans,28.78,7.66,8.01,8.28,bowl,50.71,13.49,14.11,14.60
Clear tomato soup (Tamatar ka soup),80.07,3.45,4.79,12.22,soup bowl,318.41,13.72,19.06,48.61
Club sandwich ,235.32,18.51,7.31,15.12,triangle,206.79,16.26,6.42,13.29
Coco pine cooler,32.75,5.72,0.56,1.00,tall glass,141.54,24.71,2.40,4.32
Coconut biscuit (Nariyal ke biscuit),434.98,42.90,5.78,27.16,biscuit,81.56,8.04,1.08,5.09
Coconut burfi (Nariyal ki burfi),467.64,32.15,8.81,34.63,burfi,265.38,18.25,5.00,19.65
Coconut chutney (Nariyal ki chutney),265.92,8.29,3.59,25.00,tablespoon,67.37,2.10,0.91,6.33
Coconut finger,274.86,42.56,7.09,8.86,finger,196.52,30.43,5.07,6.34
Coconut kheer (Nariyal ki kheer),162.61,14.42,3.40,10.55,bowl,1057.59,93.80,22.10,68.59
Coconut pickle (Nariyal ka aachar),517.26,11.53,3.02,51.71,jar,144.86,3.23,0.85,14.48
Coffee biscuit,416.57,46.55,6.90,23.00,biscuit,71.63,8.00,1.19,3.96
Coffee drops,443.07,43.06,7.57,27.16,small,52.30,5.08,0.89,3.21
Coffee ice cream,150.62,14.09,3.15,9.43,ice cream cup,249.84,23.37,5.22,15.64
Coffee pear alaska,203.99,19.36,2.88,13.22,dish,510.74,48.48,7.22,33.09
Cold chocolate souffle,187.53,17.22,6.37,10.86,souffle dish,455.69,41.84,15.47,26.40
Cold coffee (with cream),82.76,11.98,1.93,3.29,tall glass,207.32,30.02,4.84,8.24
Cold coffee with ice cream,67.85,11.24,1.57,2.11,tall glass,204.56,33.90,4.73,6.36
Cold cucumber cream soup ,11.88,1.76,0.34,0.34,bowl,45.43,6.73,1.29,1.29
Cold cucumber soup (Thanda kheere ka soup),48.03,4.58,2.99,1.99,soup bowl,90.13,8.60,5.61,3.74
Cold lemon souffle,169.87,15.62,5.89,9.78,souffle dish,411.92,37.89,14.29,23.72
Cold orange souffle,173.19,16.27,5.94,9.82,souffle dish,417.82,39.26,14.33,23.70
Cold pineapple souffle,181.22,16.85,6.23,10.39,souffle dish,413.18,38.42,14.20,23.68
Cold summer garden soup,49.19,2.65,8.57,14.08,soup bowl,151.00,8.12,26.31,43.23
Cold tomato soup,16.90,0.59,0.11,1.56,bowl,46.40,1.62,0.31,4.27
Cold vanilla souffle,179.54,16.29,6.22,10.32,souffle dish,423.71,38.44,14.67,24.35
Coleslaw,76.71,5.59,1.24,5.32,bowl,116.99,8.53,1.89,8.11
Consomme au julienne,27.76,1.49,12.49,10.66,bowl,213.74,11.48,96.18,82.05
Consomme au vermicelli,29.94,1.30,15.23,12.98,bowl,187.72,8.16,95.48,81.38
Coriander chutney (Hare dhaniye ki chutney),42.86,8.16,1.38,0.37,tablespoon,8.11,1.54,0.26,0.07
Corn omelette/omlet,166.93,1.57,11.37,12.89,omelette,324.26,3.05,22.09,25.04
Cornflakes with milk,117.33,14.95,3.59,5.12,bowl,326.17,41.56,9.98,14.23
Cottage cheese pie,238.98,20.66,7.45,13.83,pie,813.33,70.32,25.35,47.06
Cracked wheat and green gram dal premix (Dalia moong dal premix),362.16,64.75,15.89,5.11,,,,,
Cracked wheat khichri/khichdi (Dalia khichri/khichdi),167.45,22.35,7.56,5.52,,,,,
Cracked wheat porridge (Meetha daliya),81.57,8.87,2.64,4.08,bowl,328.71,35.75,10.65,16.44
Cranberry cookies,272.48,36.39,3.92,12.66,cookie,506.14,67.60,7.28,23.52
Cream buns,215.74,14.16,4.45,15.81,bun,179.67,11.79,3.71,13.17
Cream horns,408.23,23.12,3.42,33.55,horn,469.97,26.61,3.94,38.62
Cream of broccoli soup,56.14,3.72,8.97,12.75,bowl,258.62,17.14,41.32,58.72
Cream of carrot soup,59.77,5.69,8.27,12.35,bowl,278.30,26.48,38.53,57.52
Cream of green peas soup,127.84,6.75,7.13,14.78,soup bowl,522.23,27.58,29.11,60.38
Cream of mixed vegetable soup,59.65,4.93,6.84,9.05,soup bowl,216.16,17.87,24.81,32.79
Cream of mushroom soup,117.28,3.74,6.64,15.50,soup bowl,439.83,14.04,24.90,58.13
Cream of potato soup,60.20,6.14,8.10,12.05,bowl,286.36,29.22,38.53,57.32
Cream of spinach soup,100.54,3.45,5.21,13.31,soup bowl,465.12,15.94,24.12,61.58
Cream of tomato soup,97.81,3.93,4.61,13.12,soup bowl,452.28,18.16,21.32,60.65
